,username,text,retweet_count
41,sipandu,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
42,netijenomous,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
43,Raisya273,Bisa bisanya johan sy baca jokowi 😶,0
44,Demson14614242,@Dennysiregar7 @jokowi Doakan saja yg merasa tokoh papua segera bertobat supaya nggak banyak comer...,0
45,SumantriTri78,"RT @KetumProDEM: Woii, @KPK_RI.
Berantas Korupsi tak boleh pilih² tebu.

@KPK_RI telah katakan ada masalah dan potensi kerugian negara di p…",0
46,fadjroeL,Presiden @jokowi langsung yang mengumumkan kabar baik tibanya vaksin Covid-19 pada Minggu malam 6 Desember 2020 ~… https://t.co/LDQBG61kUt,0
47,fadjroeL,Presiden @jokowi langsung yang mengumumkan kabar baik tibanya vaksin Covid-19 pada Minggu malam 6 Desember 2020 ~… https://t.co/nd2YUvkk4T,0
48,AGUSRUD12192970,"@Dennysiregar7 @jokowi Yang di depan mata (gabener) didiemin yah, 560 M, dana covid dll nggak terendus tuh..???",0
49,kucingkampunq,@luviku @jokowi Dia apa mudeng ..keluhan rakyat kecil..???.penting ngurusi anak mantu smp dilantekkk kpu..,0
50,MJtuhMasJoko,"RT @Toperendusara1: Pada suatu waktu, Menkopolhukam @mohmahfudmd bersabda ""Korupsi dana bansos hukumannya MATI!""

Kita tunggu hukuman untuk…",0
51,IngatHariHisab,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
52,gwchaniago,"RT @Toperendusara1: Selamat pagi pakde @jokowi 

Mau ngasih tahu Menterinya pak Jokowi maling! :p #dapse",0
53,Michael09660123,RT @aikel112629: Semakin menjadi2 nih bangsat...@CCICPolri @DivHumas_Polri https://t.co/wOWl4BgeUB,0
54,AurorA72834911,"BAGAIMANA INI @KPK_RI ? 🤔
@jokowi
@mohmahfudmd
@Dr_Moeldoko
@prabowo
@Puspen_TNI
@DivHumas_Polri
@hnurwahid… https://t.co/HNRkQ1r2Wn",0
55,HiaDaniel,@AntonKu62463911 @DTanjung15 @jokowi @KPK_RI Mana mau dpr membut uunya?,0
56,buhsen,RT @idtodayco: Nasir Djamil: Presiden Jokowi Harus Minta Maaf Kepada Rakyat Indonesia https://t.co/xwph8Ps22F,0
57,ebithEBITH,"Baca reply-an berita ini.... 

dan haduh haduh haduuhhh.. 

Kogini amat yaaa..",0
58,hiroshiumeda,"RT @KetumProDEM: Woii, @KPK_RI.
Berantas Korupsi tak boleh pilih² tebu.

@KPK_RI telah katakan ada masalah dan potensi kerugian negara di p…",0
59,Althab65537131,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
60,apaijali,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
61,PurworOjek,"RT @NyiMasRuminah: Saya ingat pas awal2 ada dana bansos  pandemi, pak Jokowi pernah bilang jangan coba2 korupsi dana bansos. Sudah diingatk…",0
62,DewaSuwadana,"@Dennysiregar7 @jokowi saya pastikan itu bukanlah tokoh papua
melainkan manusia rendah yg tak tahu balas budi.",0
63,myname_tanto,RT @fadjroeL: Presiden @jokowi langsung yang mengumumkan kabar baik tibanya vaksin Covid-19 pada Minggu malam 6 Desember 2020 ~ #Jubir @Jub…,0
64,2019PAS3,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
65,maulidaaini1,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
66,hermant66192615,@ChangeOrg_ID @KontraS @jokowi ORANG INI YANG DITAKUTI PEMERINTAH.. TAKUT MEREVOLUSI AKHLAQ PARA PEJABAT.. SAMPAI M… https://t.co/Z73ZSqYciH,0
67,bacautas,"Haloo @edhi_shi 😃👋 Selamat membaca!
""Apapun Gambarannya, Dilematis Pemerintah @jokowi Dalam Upaya Mengatasi Efek Pa… https://t.co/9QXlDVHq0m",0
68,ibenk_ngetop,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
69,ediedot108,RT @jenk__kelin: Pak @jokowi dukungan kami selalu ada buat bapak.. Sehat selalu bapak... https://t.co/qyCMe2r2YX,0
70,AriefpribadiDMP,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
71,FanraJoy,"Tembak mati, bukan digigit...",0
72,bacadarikiri,"jokowi gapunya elite. makanya leadershipnya ga jalan.

mau bikin elit baru, dimasukin nadim, wishnutama, erick. tap… https://t.co/iLBbeXT1Ln",0
73,hanjenif,RT @fadjroeL: Presiden @jokowi langsung yang mengumumkan kabar baik tibanya vaksin Covid-19 pada Minggu malam 6 Desember 2020 ~ #Jubir @Jub…,0
74,baksorudalnya1,Semoga tidak dikorupsi juga ya,0
75,Thoha71509040,"@singkong_kolak @jokowi Revolusi akhlak?
Akhlak mangkir dipanggil?
Akhlak g patuh hukum?
Sekedar tanya...",0
76,ibnudona,"@Bil_lubis Kind of different for @jokowi. Coz all he is worry is just his son n his son in law  🤪

https://t.co/eLD6jBjGkb",0
77,bhaja27,RT @jayapuraupdate: Baca reply2 di berita ini.. saya Pikir seandainya Tuhan yg kritik @jokowi pun Tuhan akan dimaki sama mereka juga.,0
78,SelaMetAll,RT @DTanjung15: KPK dan Novel Baswedan Melindungi Anis Baswedan agar Anis bisa Nyapres 2024 nanti &amp; kita tau siapa yg ada di belakang merek…,0
79,muhammadzakiha7,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
80,abu_mika,@nangkhoer @kastoto @Ayudha56660031 @fadlizon @jokowi @mohmahfudmd @DivHumas_Polri @Puspen_TNI @BennyWenda Jagoan 🤣,0
81,joni_firdaus,"RT @septian: Sekadar mengingatkan: hasil uji klinis fase 3 Sinovac belum ada, dan selama hasilnya belum ada, @BPOM_RI belum dapat mengevalu…",0
